"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.01.2020","876,00","892,75","893,88","875,88","-","-1,88%"
"29.01.2020","892,75","895,50","902,88","890,88","-","-0,31%"
"28.01.2020","895,50","897,50","897,50","889,00","-","-0,22%"
"27.01.2020","897,50","899,38","899,88","888,38","-","-0,51%"
"24.01.2020","902,12","908,75","909,12","900,62","-","-0,73%"
"23.01.2020","908,75","914,00","914,75","903,88","-","-0,57%"
"22.01.2020","914,00","915,50","921,88","913,38","-","-0,16%"
"21.01.2020","915,50","930,38","931,62","915,38","-","-1,48%"
"17.01.2020","929,25","924,50","933,62","920,12","-","0,51%"
"16.01.2020","924,50","929,50","930,38","922,00","-","-0,54%"
"15.01.2020","929,50","941,75","943,38","928,38","-","-1,30%"
"14.01.2020","941,75","941,25","948,38","938,62","-","0,05%"
"13.01.2020","941,25","948,38","948,62","938,62","-","-0,50%"
"10.01.2020","946,00","942,50","946,62","935,75","-","0,37%"
"09.01.2020","942,50","946,75","954,50","939,38","-","-0,45%"
"08.01.2020","946,75","944,00","950,62","938,12","-","0,29%"
"07.01.2020","944,00","932,50","944,38","930,38","-","1,23%"
"06.01.2020","932,50","929,00","936,62","928,62","-","0,53%"
"05.01.2020","927,62","928,75","928,75","927,62","-","-0,23%"
"03.01.2020","929,75","943,25","945,38","926,75","-","-1,43%"
"02.01.2020","943,25","939,62","949,12","936,12","-","-0,03%"
"01.01.2020","943,50","943,50","943,50","943,50","-","0,00%"
"31.12.2019","943,50","939,25","943,50","933,88","-","0,45%"
"30.12.2019","939,25","928,88","940,88","927,62","-","1,06%"
"29.12.2019","929,38","929,50","929,50","929,38","-","-0,05%"
"27.12.2019","929,88","937,50","941,38","928,88","-","-0,81%"
"26.12.2019","937,50","937,88","939,88","936,88","-","0,05%"
"25.12.2019","937,00","937,00","937,00","937,00","-","0,00%"
"24.12.2019","937,00","933,00","937,62","929,12","-","0,43%"
"23.12.2019","933,00","929,00","937,12","927,62","-","0,53%"
"20.12.2019","928,12","925,00","929,88","924,12","-","0,34%"
"19.12.2019","925,00","927,25","929,12","921,38","-","-0,24%"
"18.12.2019","927,25","927,75","929,88","923,38","-","-0,05%"
"17.12.2019","927,75","920,75","930,88","920,38","-","0,76%"
"16.12.2019","920,75","912,88","922,62","912,88","-","1,50%"
"13.12.2019","907,12","897,75","916,88","897,75","-","1,04%"
"12.12.2019","897,75","892,25","901,62","888,38","-","0,60%"
"11.12.2019","892,38","900,25","901,50","891,88","-","-0,87%"
"10.12.2019","900,25","897,25","902,12","896,38","-","0,33%"
"09.12.2019","897,25","891,62","903,38","889,88","-","1,31%"
"08.12.2019","885,62","886,12","886,12","885,62","-","-0,39%"
"06.12.2019","889,12","885,00","894,12","884,62","-","0,47%"
"05.12.2019","885,00","878,25","888,62","877,62","-","0,77%"
"04.12.2019","878,25","872,75","879,88","871,38","-","0,63%"
"03.12.2019","872,75","872,50","875,62","868,38","-","0,03%"
"02.12.2019","872,50","877,88","882,88","867,62","-","-0,47%"
"01.12.2019","876,62","876,62","876,62","876,62","-","0,00%"
"29.11.2019","876,62","884,62","884,62","876,12","-","-0,61%"
"27.11.2019","882,00","884,50","887,38","881,38","-","-0,28%"
"26.11.2019","884,50","892,25","894,88","882,88","-","-0,87%"
"25.11.2019","892,25","898,12","902,62","892,12","-","-0,38%"
"24.11.2019","895,62","895,75","895,75","895,62","-","-0,03%"
"22.11.2019","895,88","900,62","903,38","895,62","-","-0,49%"
"21.11.2019","900,25","904,50","909,12","900,25","-","-0,47%"
"20.11.2019","904,50","911,50","915,88","904,38","-","-0,77%"
"19.11.2019","911,50","910,25","917,12","910,12","-","0,14%"
"18.11.2019","910,25","919,12","921,62","910,12","-","-0,86%"
"15.11.2019","918,12","917,00","923,38","915,25","-","0,12%"
"14.11.2019","917,00","915,25","917,38","910,88","-","0,19%"
"13.11.2019","915,25","916,75","921,38","913,62","-","-0,16%"
"12.11.2019","916,75","917,12","919,88","915,12","-","-0,05%"
"11.11.2019","917,25","927,88","928,88","916,12","-","-1,40%"
"08.11.2019","930,25","936,25","938,62","926,62","-","-0,64%"
"07.11.2019","936,25","927,50","938,38","926,62","-","0,94%"
"06.11.2019","927,50","934,25","935,75","927,12","-","-0,72%"
"05.11.2019","934,25","938,00","940,88","932,12","-","-0,40%"
"04.11.2019","938,00","935,12","942,12","932,62","-","0,16%"
"01.11.2019","936,50","931,00","938,62","930,38","-","0,51%"
"31.10.2019","931,75","930,62","935,38","925,12","-","0,08%"
"30.10.2019","931,00","933,12","936,88","930,38","-","-0,16%"
"29.10.2019","932,50","935,62","940,12","931,12","-","-0,43%"
"28.10.2019","936,50","935,50","940,12","934,38","-","1,53%"
"25.10.2019","922,38","933,62","937,38","919,62","-","-1,24%"
"24.10.2019","934,00","933,75","938,88","932,88","-","-0,08%"
"23.10.2019","934,75","933,88","938,62","927,88","-","0,08%"
"22.10.2019","934,00","932,88","945,12","931,12","-","0,05%"
"21.10.2019","933,50","931,62","939,88","930,38","-","0,05%"
"20.10.2019","933,00","933,00","933,00","933,00","-","-0,09%"
"18.10.2019","933,88","930,88","938,62","930,75","-","0,31%"
"17.10.2019","931,00","927,88","940,62","927,38","-","0,27%"
"16.10.2019","928,50","932,75","938,38","927,62","-","-0,51%"
"15.10.2019","933,25","938,00","944,12","933,25","-","-0,69%"
"14.10.2019","939,75","941,62","945,38","930,62","-","0,57%"
"11.10.2019","934,38","924,12","939,12","923,62","-","1,29%"
"10.10.2019","922,50","919,38","933,62","918,88","-","0,03%"
"09.10.2019","922,25","918,88","931,38","918,50","-","0,33%"
"08.10.2019","919,25","915,62","923,62","910,50","-","0,38%"
"07.10.2019","915,75","917,12","919,62","911,62","-","0,00%"
"04.10.2019","915,75","911,38","921,12","909,62","-","0,44%"
"03.10.2019","911,75","912,75","918,62","908,12","-","-0,14%"
