Data,Máxima
01.1.2016,878.7294999999998
01.1.2017,1043.5205
01.1.2018,979.952380952381
01.1.2019,918.8359999999999
01.1.2020,928.6199999999999
01.2.2016,878.1224999999997
01.2.2017,1046.5663157894735
01.2.2018,1016.6818181818181
01.2.2019,918.1304347826087
01.2.2020,892.9765
01.3.2015,979.3891666666665
01.3.2016,896.48
01.3.2017,1009.2508695652176
01.3.2018,1052.0595238095239
01.3.2019,907.5423809523811
01.3.2020,879.4334615384619
01.4.2015,978.5942857142857
01.4.2016,972.3514285714286
01.4.2017,955.0999999999997
01.4.2018,1047.4318181818182
01.4.2019,889.4372727272729
01.4.2020,862.4538461538461
01.5.2015,961.8049999999997
01.5.2016,1073.5876190476188
01.5.2017,965.739090909091
01.5.2018,1033.3
01.5.2019,845.6195454545453
01.6.2015,972.1468181818182
01.6.2016,1160.6527272727274
01.6.2017,932.9445454545454
01.6.2018,939.3214285714286
01.6.2019,896.8938095238094
01.7.2015,1017.160434782609
01.7.2016,1077.3255
01.7.2017,1005.7820000000002
01.7.2018,861.5340909090909
01.7.2019,910.5063636363634
01.8.2015,938.3357142857143
01.8.2016,1010.955
01.8.2017,951.1630434782608
01.8.2018,878.8586956521739
01.8.2019,878.3749999999999
01.9.2015,883.915238095238
01.9.2016,969.0357142857143
01.9.2017,973.0125000000002
01.9.2018,845.5625
01.9.2019,887.3685714285715
01.10.2015,899.2372727272726
01.10.2016,983.797142857143
01.10.2017,981.8536363636363
01.10.2018,867.4166666666666
01.10.2019,934.0875
01.11.2015,871.7919999999998
01.11.2016,1016.8633333333332
01.11.2017,993.8109523809525
01.11.2018,889.5108695652174
01.11.2019,917.9828571428569
01.12.2015,885.4826086956521
01.12.2016,1033.0266666666666
01.12.2017,981.7880000000001
01.12.2018,907.2277272727274
01.12.2019,914.3448
