real;dolar
42.13;23.43
42.36;23.43
42.04;23.44
42.46;24
42.81;24.37
42.14;24.05
42.29;24.36
41.66;23.83
41.92;23.97
42.23;24.32
42.16;24.23
42.39;24.29
42.36;24.26
42.39;23.85
42.63;24.12
43.57;25.13
43.42;24.85
43;24.34
42.71;24.24
43.21;24.33
43.04;24.18
43.45;24.09
43.33;23.75
44;23.97
43.5;24.25
44.34;24.71
43.89;24.48
43.48;24.24
43.28;23.93
43.06;23.96
42.87;24.14
42.9;24.39
42.68;24.16
42.83;24.37
43.6;24.59
43.55;24.43
44.11;24.55
44;24.27
44.41;24.48
45.08;25.03
45.32;25.11
45.64;25.44
45.36;25.6
45.33;25.74
45.03;25.37
45.13;25.47
46.28;26.42
46.66;26.59
47.05;26.67
47.46;26.95
48.21;27.27
48.35;27.52
48.58;27.81
49.06;28.29
48.93;27.93
48.26;27.22
49;27.42
48.81;27.34
48.83;26.68
48.38;27
47.92;26.26
47.7;26.74
48;26.86
47.92;26.86
48.12;27.02
47.87;26.89
47.89;27.23
48.25;27.63
49.46;28.22
49.5;28.15
50.38;28.48
50.04;28.48
49.9;28.51
49.45;28.37
49.91;28.52
50.13;28.58
50.13;28.87
50.3;29.02
50.04;29.03
49.94;29.19
49.86;29.19
50.71;29.72
50.35;29.9
50.03;29.94
50.32;30.15
51.18;30.26
52.6;31.48
51.97;30.83
51.84;31.01
49.5;29.46
48.39;28.73
47.68;27.95
48.95;29.05
47.82;28.57
49.21;29.07
48.53;28.32
46.45;26.96
46.33;27.45
44.99;26.14
44.36;25.61
45.69;26.15
47.92;27.67
49.27;28.56
48.8;28.09
46.92;26.9
44;25.1
44.98;25.77
45.55;26.37
45.81;26.68
46;26.92
46.11;27.06
45.59;26.91
46.14;27.32
47.26;28.05
46.86;27.73
47.8;28.33
48.43;28.78
47.5;28.55
46.86;28.26
47.08;28.21
47.42;28.55
47.67;28.75
47.52;28.46
47.28;28.36
46;27.25
46.4;27.2
46.91;28.21
45.53;27.59
45.29;27.33
45.76;27.57
46.05;27.25
46.6;27.53
47.4;28.11
46.94;28.19
46.99;28.36
47.28;28.42
46.64;28.18
47.36;28.86
46.11;27.96
46.35;28.09
46.24;27.89
47.1;28.36
47.24;28.47
47.36;28.34
47.6;28.76
46.57;28.45
46.67;28.67
47.2;28.92
47.27;29.02
47.68;29.27
49.4;30.36
50.52;30.92
50.45;31.03
50.11;30.42
52.37;31.89
53.19;32.53
54.03;33.02
53.38;32.85
54.07;33.62
55.12;34.3
54.43;33.93
54.91;34.19
53.52;33.18
53.19;33.2
53.41;33.57
54.62;34.07
55.29;34.64
55.26;34.6
56.12;34.97
56.1;34.99
56.83;35.28
57.02;35.46
54.64;34.13
53.98;33.45
54.77;34.06
55.66;34.57
56.13;35.06
55.07;34.55
54.43;34.27
54.71;34.26
53.87;33.69
52.92;33.3
50.3;31.86
50.04;31.67
49.63;31.33
49.42;31.3
49.74;31.62
49.85;31.65
48.9;31.17
48.82;31.26
49.17;31.48
48.18;30.84
45.72;29.25
45.16;28.67
44.31;28.09
45.45;28.57
44.88;27.91
44.85;27.75
45.12;27.78
46.51;28.8
45.93;28.23
45.35;27.68
46.88;28.6
47.46;29.17
47.23;29.17
48.42;30.07
47.86;29.4
48.9;29.94
49.15;30.13
49.04;30.23
48.36;29.63
48.85;29.91
48.73;29.59
47.76;28.72
47.38;28.23
47.7;27.75
46.99;27.37
46.61;26.85
47.19;26.63
47.75;26.75
48.44;26.69
48.28;27.11
48.63;26.81
47.47;26.08
48.11;25.76
48.78;25.28
48.04;26.25
48.91;27.28
48.93;26.74
49.68;26.86
49.32;27.08
49.14;26.52
48.29;24.55
46.97;24.67
47.47;24.75
46.84;23.18
46.94;22.96
46.55;21.16
47.47;20.53
49.17;21.57
48.9;22.35
48.3;20.87
46.69;21.82
45.24;21.52
44.39;20.5
43.9;20.28
44.66;21.11
44.91;21.21
45.66;20.42
47.83;20.1
48.25;20.89
47.44;20.39
46.83;20.87
46.33;21.2
46.82;21.88
46.32;22.03
46.12;21.39
47.12;21.72
47.18;22.35
46.16;21.79
45.08;20.48
46.3;21.44
46.58;21.25
46.5;20.93
47.57;20.74
48.28;20.28
47.63;20.98
48.32;21.22
48.26;20.76
49.3;20.67
48.2;20.08
48.32;19.61
48.01;20.62
47.02;20.22
47.44;20.93
46.5;20.39
46.64;20.17
46.16;19.91
46.34;19.38
46.28;18.71
46.27;18.28
46.17;18.58
45.47;18.19
45.93;18.58
46.18;19.01
45.86;19.56
45.83;19.38
46.53;19.56
46.66;19.69
46.53;19.82
46.45;19.69
46.78;19.78
47.29;19.79
47.77;20.01
48.17;20.32
48.67;20.15
49.3;21.1
49.67;21.28
49.67;22.03
50.09;22.98
50.43;22.39
49.95;21.74
51.02;22.47
50.4;21.97
50.1;21.52
50.93;21.72
51.32;21.55
51.98;22.25
52.14;22.36
52.13;21.99
52.08;22.14
51.9;22.28
52.83;22.57
52.81;22.86
51.42;22.08
49.82;21.9
50.15;21.85
50.53;21.83
50.29;21.63
49.95;21.53
49.88;21.6
50.28;21.98
50.47;22.45
51.18;22.88
50.9;22.29
51.02;22.28
51;22.29
50.71;22.4
50.03;21.94
48.42;20.82
48.66;20.71
47.75;20.31
46.64;19.52
46.36;19.52
46.14;19.68
46.57;19.64
46.73;19.13
47.27;19.6
47.31;19.94
46.65;19.6
47.26;19.9
47.25;19.89
47.42;20.19
47.19;20.08
46.6;20.23
46.75;20.34
47.18;20.72
47.59;20.83
47.85;21.27
47.87;21.29
48.18;21.28
49.3;21.96
49.34;22.01
49.01;21.8
48.32;21.57
47.41;20.69
47.33;20.3
48.82;21.06
48.91;21.44
48.91;21.89
48.73;22.09
48.93;22.06
49.22;22.19
49.45;22.44
49.54;22.81
49.43;22.78
50.3;22.92
50.64;23.05
50.99;23.43
51.9;23.69
51.5;22.95
51.62;23.44
51.7;23.3
51.18;23.36
50.28;22.65
49.19;22.39
49.45;22.74
